sampling_site,species,length_mm,mass_g,lake
Toolik,lake trout,383,398,Toolik
Toolik,lake trout,518,1260,Toolik
Toolik,lake trout,222,81.5,Toolik
Toolik,lake trout,424,665,Toolik
Toolik,lake trout,426,661,Toolik
Toolik,lake trout,296,194,Toolik
Toolik,lake trout,275,181,Toolik
Toolik,lake trout,357,363,Toolik
Toolik,lake trout,392,471,Toolik
Toolik,lake trout,299,193,Toolik
Toolik,lake trout,399,583,Toolik
Toolik,lake trout,398,568,Toolik
Toolik,lake trout,443,732,Toolik
Toolik,lake trout,387,489,Toolik
Toolik,lake trout,187,59.5,Toolik
Toolik,lake trout,402,580,Toolik
Toolik,lake trout,490,1110,Toolik
Toolik,lake trout,434,741,Toolik
Toolik,lake trout,427,755,Toolik
Toolik,lake trout,411,640,Toolik
Toolik,lake trout,424,625,Toolik
Toolik,lake trout,259,330,Toolik
Toolik,lake trout,398,478,Toolik
Toolik,lake trout,373,415,Toolik
Toolik,lake trout,363,321,Toolik
Toolik,lake trout,285,162,Toolik
Toolik,lake trout,391,490,Toolik
Toolik,lake trout,374,407,Toolik
Toolik,lake trout,219,71,Toolik
Toolik,lake trout,358,361,Toolik
Toolik,lake trout,410,597,Toolik
Toolik,lake trout,386,459,Toolik
Toolik,lake trout,397,473,Toolik
Toolik,lake trout,415,490,Toolik
Toolik,lake trout,350,310,Toolik
Toolik,lake trout,257,110,Toolik
Toolik,lake trout,362,352,Toolik
Toolik,lake trout,350,300,Toolik
Toolik,lake trout,342,275,Toolik
Toolik,lake trout,300,185,Toolik
Toolik,lake trout,345,315,Toolik
Toolik,lake trout,280,155,Toolik
Toolik,lake trout,315,210,Toolik
Toolik,lake trout,333,270,Toolik
Toolik,lake trout,351,340,Toolik
Toolik,lake trout,373,395,Toolik
Toolik,lake trout,442,585,Toolik
Toolik,lake trout,782,170,Toolik
Toolik,lake trout,411,668,Toolik
Toolik,lake trout,438,625,Toolik
Toolik,lake trout,30.5,0.15,Toolik
Toolik,lake trout,510,1200,Toolik
Toolik,lake trout,409,520,Toolik
Toolik,lake trout,61,255,Toolik
Toolik,lake trout,39,430,Toolik
Toolik,lake trout,314,230,Toolik
Toolik,lake trout,339,280,Toolik
Toolik,lake trout,358,320,Toolik
Toolik,lake trout,383,440,Toolik
Toolik,lake trout,384,410,Toolik
Toolik,lake trout,456,750,Toolik
Toolik,lake trout,295,220,Toolik
Toolik,lake trout,281,165,Toolik
Toolik,lake trout,292,200,Toolik
Toolik,lake trout,393,450,Toolik
Toolik,lake trout,379,410,Toolik
Toolik,lake trout,413,520,Toolik
Toolik,lake trout,412,540,Toolik
Toolik,lake trout,402,455,Toolik
Toolik,lake trout,390,450,Toolik
Toolik,lake trout,294,190,Toolik
Toolik,lake trout,330,200,Toolik
Toolik,lake trout,278,160,Toolik
Toolik,lake trout,403,490,Toolik
Toolik,lake trout,350,330,Toolik
Toolik,lake trout,342,295,Toolik
Toolik,lake trout,370,450,Toolik
Toolik,lake trout,126,17,Toolik
Toolik,lake trout,465,920,Toolik
Toolik,lake trout,360,370,Toolik
Toolik,lake trout,324,260,Toolik
Toolik,lake trout,438,780,Toolik
Toolik,lake trout,352,310,Toolik
Toolik,lake trout,305,215,Toolik
Toolik,lake trout,185,50,Toolik
Toolik,lake trout,366,380,Toolik
Toolik,lake trout,323,250,Toolik
Toolik,lake trout,339,270,Toolik
Toolik,lake trout,383,425,Toolik
Toolik,lake trout,374,160,Toolik
Toolik,lake trout,263,130,Toolik
Toolik,lake trout,131,17.5,Toolik
Toolik,lake trout,451,810,Toolik
Toolik,lake trout,406,520,Toolik
Toolik,lake trout,390,500,Toolik
Toolik,lake trout,485,1000,Toolik
Toolik,lake trout,87,4.6,Toolik
Toolik,lake trout,436,726,Toolik
Toolik,lake trout,486,954,Toolik
Toolik,lake trout,497,1035,Toolik
Toolik,lake trout,522,885,Toolik
Toolik,lake trout,398,523,Toolik
Toolik,lake trout,454,755,Toolik
Toolik,lake trout,357,366,Toolik
Toolik,lake trout,470,990,Toolik
Toolik,lake trout,387,462,Toolik
Toolik,lake trout,411,473,Toolik
Toolik,lake trout,375,386,Toolik
Toolik,lake trout,319,259,Toolik
Toolik,lake trout,301,214,Toolik
Toolik,lake trout,330,302,Toolik
Toolik,lake trout,339,374,Toolik
Toolik,lake trout,250,131,Toolik
Toolik,lake trout,200,65,Toolik
Toolik,lake trout,240,108,Toolik
Toolik,lake trout,236,90,Toolik
Toolik,lake trout,260,134,Toolik
Toolik,lake trout,390,427,Toolik
Toolik,lake trout,411,536,Toolik
Toolik,lake trout,347,289,Toolik
Toolik,lake trout,330,275,Toolik
Toolik,lake trout,352,379,Toolik
I8,lake trout,NA,854,I8
Toolik,lake trout,NA,430,Toolik
Toolik,lake trout,NA,440,Toolik
Toolik,lake trout,NA,300,Toolik
I8,lake trout,NA,552,I8
I8,lake trout,NA,742,I8
I8,lake trout,NA,910,I8
I8,lake trout,NA,529,I8
NE 14,lake trout,NA,500.6,NE 14
NE 14,lake trout,NA,406.2,NE 14
NE 14,lake trout,NA,1307.2,NE 14
NE 14,lake trout,NA,384.8,NE 14
